key,value
TAAA,Technical Architecture Alternatives Analysis
TANF,Temporary Assistance for Needy Families
TANF IV-A System,Temporary Assistance for Needy Families (SACWIS Interface)
TASP,Technical Architecture Strategic Plan
TCO,Total Cost of Ownership
TDM,TDM (Team Decision Making) Tool
THPP,Transitional Housing Placement Program
THPPF,Transitional Housing Placement Program Facility
TILCP,Transitional Independent Living Case Plan
TILP,Transitional Independent Living Program
Title IV-B,Title IV-B Child Welfare Services
Title IV-D,Title IV-D Child Support Program
Title IV-E,Title IV-E Foster Care and Adoption Assistance Program
TP,Transaction Processing
TPR,Termination of Parental Rights
TSO,Temporary Suspension Order
TSR,Technical Services Request
UCB,UC Berkeley
UDB,Universal Database
VAF,Value Adjustment Factor
VPN,Virtual Private Network
W&IC,Welfare & Institutions Code
W3C,World Wide Web Consortium
WAN,Wide Area Network
WAP,Wireless Access Protocol
WBS,Work Breakdown Structure
WBT,Web Based Training
WIA,Workforce Investment Act
WIC,Women Infants and Children
WINS,Windows Internet Name Service
XML,Extensible Markup Language
XPD,Transaction Packet Descriptors
XSLT,Extensible Stylesheet Language
